Component,Reference ID,Countermeasure,Description,Source,State,Test result,Priority,Expiry date,Cost,Owner,Issue ID,MITRE reference,Scope,Standard baseline,Standard baseline section
"*.beep,ovh",C-COMPREHENSIVE-DDOS-MITIGATION-AND-SERVICE-PROTECTION,Comprehensive DDoS Mitigation and Service Protection,"Denial of Service (DoS) and Distributed Denial of Service (DDoS) attacks 
pose significant threats to the availability of DNS services. These attacks 
aim to overwhelm DNS servers with a flood of requests, making the service 
slow or completely unavailable to legitimate users. To safeguard DNS 
infrastructure and ensure continuous availability, it's essential to deploy 
a comprehensive DDoS mitigation strategy. This strategy involves several 
key components:

Specialized DDoS Protection Services:

Utilize dedicated DDoS protection solutions that monitor DNS traffic in 
real-time to detect and mitigate attack patterns. These services can 
distinguish between legitimate user traffic and malicious requests, 
enabling the immediate filtering out of attack traffic before it reaches 
your DNS servers. Implementing such services often involves configuring DNS 
routing to pass through DDoS protection scrubbing centers, ensuring that 
only clean traffic reaches your infrastructure.

Rate Limiting:

Apply rate limiting controls on incoming DNS requests to prevent any single 
source from flooding the server with excessive queries. Rate limiting can 
help in minimizing the impact of volumetric attacks, ensuring that server 
resources are not exhausted by malicious requests. Configure thresholds 
based on normal traffic patterns and adjust as needed to accommodate 
legitimate spikes in DNS queries.

Load Balancing:

Employ load balancing techniques to distribute DNS requests evenly across 
multiple servers, enhancing the overall resilience and scalability of DNS 
services. Load balancing can help in absorbing the traffic volume during an 
attack, reducing the risk of any single point of failure and maintaining 
service availability for legitimate requests.

Adaptive Mitigation Strategies:

Ensure that DDoS mitigation strategies are capable of adapting to varying 
load conditions without impacting normal operations. This involves 
dynamically adjusting rate limiting thresholds and load balancing 
configurations in response to observed traffic patterns. Regular testing 
and tuning of mitigation strategies are crucial for ensuring preparedness 
against evolving DDoS attack vectors.

By implementing these measures, developers and network administrators can 
enhance the defense of their DNS infrastructure against DDoS attacks. It's 
essential to regularly review and update these strategies to keep pace with 
the evolving landscape of cyber threats, ensuring the DNS service remains 
robust and reliable for users.",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Hugo Ponthieu,,ATT&CK Enterprise - M1021 - Restrict Web-Based Content||ATT&CK Enterprise - M1030 - Network Segmentation,Network Security,NIST 800-53 v5,SC-5 DENIAL-OF-SERVICE PROTECTION||SI-4 System Monitoring
"*.beep,ovh",C-COMPREHENSIVE-DNS-AND-SUBDOMAIN-AUDITING-AND-MANAGEMENT,Comprehensive DNS and Subdomain Auditing and Management,"Effective management and regular auditing of DNS and subdomain 
configurations are crucial for maintaining the security and integrity of 
your web presence. This countermeasure involves systematic reviews and 
enhancements to DNS settings and subdomain management practices to ensure 
they are secure and comply with best practices.

Steps to Implement Comprehensive DNS and Subdomain Auditing and Management

Inventory DNS Records and Subdomains:

    * Document all existing DNS records and subdomains. This inventory
      should include details about their purpose, associated services, and
      responsible parties.
    * Ensure every entry is necessary and correctly configured according to
      its intended use.

Implement Access Controls:

    * Restrict access to DNS management tools and configuration settings to
      authorized personnel only.
    * Employ role-based access controls (RBAC) to limit who can view,
      modify, or delete DNS and subdomain settings based on their role and
      necessity.

Regular Auditing:

    * Schedule regular audits of DNS configurations and subdomain settings
      to ensure they remain aligned with current operational requirements
      and security policies.
    * Use automated tools to detect misconfigurations or unauthorized
      changes.

Secure DNS Management Interfaces:

    * Ensure that all management interfaces (such as web-based DNS control
      panels) are accessible only via secure connections (HTTPS).
    * Implement strong authentication measures, including multi-factor
      authentication (MFA), for accessing DNS management systems.

Review and Update DNS Security Settings:

    * Implement DNSSEC (DNS Security Extensions) to protect DNS data with
      cryptographic signatures and help prevent DNS spoofing and cache
      poisoning.
    * Configure DNS settings to minimize the risk of unauthorized zone
      transfers or information leakage. Allow zone transfers only to
      authorized secondary DNS servers.

Monitoring and Alerting:

    * Set up monitoring systems to track changes in DNS and subdomain
      configurations. Use DNS query logging to detect unusual patterns that
      could indicate malicious activities.
    * Establish alerting mechanisms to notify administrators of suspicious
      activities or deviations from established configurations.

Educate and Train Staff:

    * Conduct regular training sessions for staff involved in DNS
      management to ensure they are aware of current threats and best
      practices.
    * Encourage staff to stay informed about the latest DNS security
      threats and mitigation strategies.

Develop and Enforce Policies:

    * Create and enforce policies that dictate how DNS and subdomains
      should be managed, audited, and secured.
    * Ensure that these policies include guidelines for handling and
      responding to security incidents related to DNS.

Backup DNS Records:

    * Regularly back up DNS records and ensure that backups are stored
      securely.
    * Test restoration procedures to confirm that DNS settings can be
      quickly restored to a known good state in the event of corruption or
      loss.

Good Security Practices Reference

    * Follow best practices and guidelines from organizations such as the
      Internet Corporation for Assigned Names and Numbers (ICANN) and the
      Internet Engineering Task Force (IETF) regarding DNS management and
      security.
    * Consult resources like the Open Web Application Security Project
      (OWASP) for general web security practices that include DNS security
      considerations.

By diligently implementing these steps, developers can significantly 
enhance the security of DNS and subdomain configurations, reducing the risk 
of attacks and ensuring stable and reliable domain name resolution 
services.",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1026 - Privileged Account Management||ATT&CK Enterprise - M1047 - Audit||ATT&CK Enterprise - M1051 - Update Software||ATT&CK Enterprise - M1054 - Software Configuration,Network Security,NIST 800-53 v5,SC-20 Secure Name/address Resolution Service (authoritative Source)
VPN (Virtual Private Network),C-VPN-VIRTUAL-PRIVATE-NETWORK-CNT-09,Conduct routine audits and reviews of VPN configurations to ensure compliance with security standards,"Perform regular audits and reviews of VPN configurations to verify they 
align with best practices and security standards. This proactive approach 
minimizes misconfigurations, strengthens the VPN’s security posture, and 
ensures adherence to evolving organizational and regulatory requirements.

Establish an Audit Schedule:

    * Define a regular cadence for configuration reviews, such as quarterly
      or after significant updates.
    * Conduct additional audits following security incidents or
      infrastructure changes.

Define Audit Scope:

    * Include key configurations such as authentication mechanisms,
      encryption settings, allowed protocols, access controls, and logging
      settings.
    * Verify compliance with organizational policies and industry standards
      (e.g., NIST, CIS Benchmarks).

Review Authentication Settings:

    * Ensure multifactor authentication (MFA) is enforced for all users.
    * Check for unused or outdated user accounts and remove them promptly.

Validate Encryption Standards:

    * Confirm the VPN uses secure encryption protocols like TLS 1.2 or TLS
      1.3.
    * Disable weak or deprecated protocols such as PPTP or L2TP without
      IPsec.

Assess Access Controls:

    * Verify that access is restricted to authorized users and devices
      only.
    * Review and update firewall rules and traffic segmentation policies.

Check Logging and Monitoring:

    * Ensure comprehensive logging is enabled and integrated with a SIEM
      system for real-time analysis.
    * Verify logs are retained securely and accessible for audits or
      investigations.

Document Findings and Remediate Issues:

    * Record audit results, highlighting any deviations from best
      practices.
    * Assign remediation tasks to address identified issues and track their
      resolution.

Continuous Improvement:

    * Update configurations and policies based on audit findings, threat
      intelligence, and industry developments.
    * Train administrators on emerging best practices and common
      configuration pitfalls.

By conducting routine VPN configuration audits, developers and DevOps 
engineers can proactively identify and address security gaps, ensuring the 
VPN remains resilient against threats and compliant with security 
standards.

References:

    * NIST SP 800-41: Guidelines on VPN Security
      <https://csrc.nist.gov/publications/detail/sp/800-41/rev-1/final>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1047 - Audit,Network Security,NIST 800-53 v5,AU-12 Audit Record Generation
Bare Metal Server,C-BARE-METAL-SERVER-CNT-04,Conduct thorough supply chain risk assessments,"Engaging in rigorous supply chain validation processes is vital for 
securing bare metal servers against compromised components. The following 
step-by-step guidance outlines how to implement effective supply chain 
validation:

   1. Partner Vetting:
         1. Research and compile a list of potential suppliers and
            manufacturers.
         2. Conduct background checks to ensure partners have a history of
            adhering to security standards.
         3. Require partners to disclose any past incidents of hardware
            tampering or data breaches.
         4. Implement a system to routinely evaluate and audit partner
            security practices to ensure ongoing compliance with security
            standards.
   2. Vulnerability Assessments:
         1. Adopt a framework to regularly assess hardware components for
            vulnerabilities, such as CVE databases.
         2. Perform threat modeling to identify potential security risks
            specific to the bare metal servers.
         3. Employ third-party security experts to conduct independent
            evaluations of hardware components.
         4. Utilize automated scanning tools tailored to identify known
            vulnerabilities in hardware components.
   3. Tracking Provenance of Hardware Components:
         1. Implement a supply chain management system to log and track the
            origin and history of all components used in the servers.
         2. Introduce hardware authenticity checks that verify component
            integrity at each stage of the supply chain.
         3. Utilize blockchain technology to secure the traceability
            records, ensuring immutability and transparency.
   4. Continuous Improvement:
         1. Stay updated with the latest industry trends and incorporate
            new security technologies as they become available.
         2. Regularly review and update the supply chain validation
            processes to adapt to evolving threats.
         3. Encourage a culture of security awareness across all
            stakeholders involved in the supply chain.

References

    * NIST Special Publication 800-161 Rev. 1 (Draft): Cybersecurity Supply
      Chain Risk Management Practices for Systems and Organizations
      <https://csrc.nist.gov/publications/detail/sp/800-161/rev-1/draft>",Created by Rules Engine,Recommended,Not tested,Very high,N/A,High,Hugo Ponthieu,,EMB3D - MID-025 - End-of-Life Management Features,Hardware Security,NIST 800-53 v5,SR-2 Supply Chain Risk Management Plan
Bare Metal Server,C-BARE-METAL-SERVER-CNT-04,Conduct thorough supply chain risk assessments,"Engaging in rigorous supply chain validation processes is vital for 
securing bare metal servers against compromised components. The following 
step-by-step guidance outlines how to implement effective supply chain 
validation:

   1. Partner Vetting:
         1. Research and compile a list of potential suppliers and
            manufacturers.
         2. Conduct background checks to ensure partners have a history of
            adhering to security standards.
         3. Require partners to disclose any past incidents of hardware
            tampering or data breaches.
         4. Implement a system to routinely evaluate and audit partner
            security practices to ensure ongoing compliance with security
            standards.
   2. Vulnerability Assessments:
         1. Adopt a framework to regularly assess hardware components for
            vulnerabilities, such as CVE databases.
         2. Perform threat modeling to identify potential security risks
            specific to the bare metal servers.
         3. Employ third-party security experts to conduct independent
            evaluations of hardware components.
         4. Utilize automated scanning tools tailored to identify known
            vulnerabilities in hardware components.
   3. Tracking Provenance of Hardware Components:
         1. Implement a supply chain management system to log and track the
            origin and history of all components used in the servers.
         2. Introduce hardware authenticity checks that verify component
            integrity at each stage of the supply chain.
         3. Utilize blockchain technology to secure the traceability
            records, ensuring immutability and transparency.
   4. Continuous Improvement:
         1. Stay updated with the latest industry trends and incorporate
            new security technologies as they become available.
         2. Regularly review and update the supply chain validation
            processes to adapt to evolving threats.
         3. Encourage a culture of security awareness across all
            stakeholders involved in the supply chain.

References

    * NIST Special Publication 800-161 Rev. 1 (Draft): Cybersecurity Supply
      Chain Risk Management Practices for Systems and Organizations
      <https://csrc.nist.gov/publications/detail/sp/800-161/rev-1/draft>",Created by Rules Engine,Recommended,Not tested,Very high,N/A,High,Hugo Ponthieu,,EMB3D - MID-025 - End-of-Life Management Features,Hardware Security,NIST 800-53 v5,SR-2 Supply Chain Risk Management Plan
React.js,C-REACT-JS-CNT-REACTJS-06,Configure content security policy (CSP) in ReactJS,"Configure a Content Security Policy (CSP) in your React.js application to 
mitigate the risk of cross-site scripting (XSS) and other malicious content 
injection attacks. By specifying allowed sources for scripts, styles, 
images, and other resources, you can control what external resources are 
trusted and prevent unauthorized scripts from executing in the browser. CSP 
should be implemented by adding the appropriate HTTP headers to your 
React.js application, either via the server or through a meta tag. 
Regularly review and update the policy to reflect new security needs and 
ensure that all external dependencies are trusted.

References

    * Securing Your React App with Content Security Policy
      <https://betterreact.dev/insights/securing-react-applications-best-practices-and-tools/>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1047 - Audit,Application Security,NIST 800-53 v5,CM-6 Configuration Settings
Kubernetes Pod,C-KUBERNETES-POD-CNT-01,Configure Image Provenance using ImagePolicyWebhook admission controller,"CIS Benchmark Recommendation id: 5.5.1
Profile Applicability: Level 2 - Master Node
Description: Configure Image Provenance for your deployment.
Rationale: Kubernetes supports plugging in provenance rules to accept or 
reject the images in your deployments. You could configure such rules to 
ensure that only approved images are deployed in the cluster.
Impact: You need to regularly maintain your provenance configuration based 
on container image updates.
Audit: Review the pod definitions in your cluster and verify that image 
provenance is configured as appropriate.
Remediation: Follow the Kubernetes documentation and setup image 
provenance.
Default Value: By default, image provenance is not set.
References:

   1. 
      <https://kubernetes.io/docs/admin/admission-controllers/#imagepolicywebhook>
   2. 
      <https://github.com/kubernetes/community/blob/master/contributors/designproposals/image-provenance.md>
   3. <https://hub.docker.com/r/dnurmi/anchore-toolbox/>
   4. <https://github.com/kubernetes/kubernetes/issues/22888>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Application Security,NIST 800-53 v5,"SI-7 Software, Firmware, and Information Integrity"
Kubernetes Pod,C-KUBERNETES-POD-CNT-01,Configure Image Provenance using ImagePolicyWebhook admission controller,"CIS Benchmark Recommendation id: 5.5.1
Profile Applicability: Level 2 - Master Node
Description: Configure Image Provenance for your deployment.
Rationale: Kubernetes supports plugging in provenance rules to accept or 
reject the images in your deployments. You could configure such rules to 
ensure that only approved images are deployed in the cluster.
Impact: You need to regularly maintain your provenance configuration based 
on container image updates.
Audit: Review the pod definitions in your cluster and verify that image 
provenance is configured as appropriate.
Remediation: Follow the Kubernetes documentation and setup image 
provenance.
Default Value: By default, image provenance is not set.
References:

   1. 
      <https://kubernetes.io/docs/admin/admission-controllers/#imagepolicywebhook>
   2. 
      <https://github.com/kubernetes/community/blob/master/contributors/designproposals/image-provenance.md>
   3. <https://hub.docker.com/r/dnurmi/anchore-toolbox/>
   4. <https://github.com/kubernetes/kubernetes/issues/22888>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Application Security,NIST 800-53 v5,"SI-7 Software, Firmware, and Information Integrity"
Kubernetes Pod,C-KUBERNETES-POD-CNT-01,Configure Image Provenance using ImagePolicyWebhook admission controller,"CIS Benchmark Recommendation id: 5.5.1
Profile Applicability: Level 2 - Master Node
Description: Configure Image Provenance for your deployment.
Rationale: Kubernetes supports plugging in provenance rules to accept or 
reject the images in your deployments. You could configure such rules to 
ensure that only approved images are deployed in the cluster.
Impact: You need to regularly maintain your provenance configuration based 
on container image updates.
Audit: Review the pod definitions in your cluster and verify that image 
provenance is configured as appropriate.
Remediation: Follow the Kubernetes documentation and setup image 
provenance.
Default Value: By default, image provenance is not set.
References:

   1. 
      <https://kubernetes.io/docs/admin/admission-controllers/#imagepolicywebhook>
   2. 
      <https://github.com/kubernetes/community/blob/master/contributors/designproposals/image-provenance.md>
   3. <https://hub.docker.com/r/dnurmi/anchore-toolbox/>
   4. <https://github.com/kubernetes/kubernetes/issues/22888>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Application Security,NIST 800-53 v5,"SI-7 Software, Firmware, and Information Integrity"
Kubernetes Pod,C-KUBERNETES-POD-CNT-01,Configure Image Provenance using ImagePolicyWebhook admission controller,"CIS Benchmark Recommendation id: 5.5.1
Profile Applicability: Level 2 - Master Node
Description: Configure Image Provenance for your deployment.
Rationale: Kubernetes supports plugging in provenance rules to accept or 
reject the images in your deployments. You could configure such rules to 
ensure that only approved images are deployed in the cluster.
Impact: You need to regularly maintain your provenance configuration based 
on container image updates.
Audit: Review the pod definitions in your cluster and verify that image 
provenance is configured as appropriate.
Remediation: Follow the Kubernetes documentation and setup image 
provenance.
Default Value: By default, image provenance is not set.
References:

   1. 
      <https://kubernetes.io/docs/admin/admission-controllers/#imagepolicywebhook>
   2. 
      <https://github.com/kubernetes/community/blob/master/contributors/designproposals/image-provenance.md>
   3. <https://hub.docker.com/r/dnurmi/anchore-toolbox/>
   4. <https://github.com/kubernetes/kubernetes/issues/22888>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Application Security,NIST 800-53 v5,"SI-7 Software, Firmware, and Information Integrity"
Kubernetes Pod,C-KUBERNETES-POD-CNT-01,Configure Image Provenance using ImagePolicyWebhook admission controller,"CIS Benchmark Recommendation id: 5.5.1
Profile Applicability: Level 2 - Master Node
Description: Configure Image Provenance for your deployment.
Rationale: Kubernetes supports plugging in provenance rules to accept or 
reject the images in your deployments. You could configure such rules to 
ensure that only approved images are deployed in the cluster.
Impact: You need to regularly maintain your provenance configuration based 
on container image updates.
Audit: Review the pod definitions in your cluster and verify that image 
provenance is configured as appropriate.
Remediation: Follow the Kubernetes documentation and setup image 
provenance.
Default Value: By default, image provenance is not set.
References:

   1. 
      <https://kubernetes.io/docs/admin/admission-controllers/#imagepolicywebhook>
   2. 
      <https://github.com/kubernetes/community/blob/master/contributors/designproposals/image-provenance.md>
   3. <https://hub.docker.com/r/dnurmi/anchore-toolbox/>
   4. <https://github.com/kubernetes/kubernetes/issues/22888>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Application Security,NIST 800-53 v5,"SI-7 Software, Firmware, and Information Integrity"
Backend,C-WEB-APPLICATION-SERVER-SIDE-CNT-10,Configure XML parsers to disallow external entities and DTD processing,"To prevent XML-based attacks such as XML External Entity (XXE) and Denial 
of Service (DoS) attacks, configure XML parsers to disallow external 
entities and Document Type Definition (DTD) processing by default. This 
ensures that any incoming XML documents cannot trigger external requests or 
load external data that could compromise the system, leak sensitive data, 
or cause resource exhaustion.

Implementation Steps:

   1. Disable External Entity Resolution: Configure XML parsers to
      explicitly disable the resolution of external entities by setting
      options or flags that prevent the parser from fetching external
      resources.
   2. Disable DTD Processing: Ensure that the XML parser does not process
      DTDs, which can be used to define and reference external entities or
      cause denial-of-service attacks via large or nested DTDs.
   3. Use Secure Parsers: Ensure that you are using updated and secure XML
      parsing libraries that offer built-in protections against XXE and
      other XML-based vulnerabilities.
   4. Validate XML Input: Before parsing, validate XML input to ensure it
      conforms to a known schema or structure, mitigating any unexpected or
      malicious data.

References:

    * OWASP XML External Entity (XXE) Prevention Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/XML_External_Entity_Prevention_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1055 - Do Not Mitigate,Application Security,NIST 800-53 v5,CM-6 Configuration Settings
Fronend,C-WEB-APPLICATION-SERVER-SIDE-CNT-10,Configure XML parsers to disallow external entities and DTD processing,"To prevent XML-based attacks such as XML External Entity (XXE) and Denial 
of Service (DoS) attacks, configure XML parsers to disallow external 
entities and Document Type Definition (DTD) processing by default. This 
ensures that any incoming XML documents cannot trigger external requests or 
load external data that could compromise the system, leak sensitive data, 
or cause resource exhaustion.

Implementation Steps:

   1. Disable External Entity Resolution: Configure XML parsers to
      explicitly disable the resolution of external entities by setting
      options or flags that prevent the parser from fetching external
      resources.
   2. Disable DTD Processing: Ensure that the XML parser does not process
      DTDs, which can be used to define and reference external entities or
      cause denial-of-service attacks via large or nested DTDs.
   3. Use Secure Parsers: Ensure that you are using updated and secure XML
      parsing libraries that offer built-in protections against XXE and
      other XML-based vulnerabilities.
   4. Validate XML Input: Before parsing, validate XML input to ensure it
      conforms to a known schema or structure, mitigating any unexpected or
      malicious data.

References:

    * OWASP XML External Entity (XXE) Prevention Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/XML_External_Entity_Prevention_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1055 - Do Not Mitigate,Application Security,NIST 800-53 v5,CM-6 Configuration Settings
